ID;Improving of Functionality;Needed Functionality;Understandability of User Interface;Efficiency of User Interface;Most often Mode;Switching Modes;Functional;Negative;Use of Tool;Additional Comments
;;;Negative: In the Convert tab, it's confusing what to do when one does not want to accept. Maybe a button saying Cancel or Let me edit it could be added that redirects to Raw Markdown tab.;;;;;;;
;;;"Negative: Would a short tutorial at the start be helpful?

   - A tutorial may overdo it, but a short motivational text, which explains what ADRs are for, would be helpful.";;;;;;;
;;;;;;;;;;
4;"Modes were confusing: When to use each mode?
   - It seems like you can always use Professional mode.
   - Does not see the advantages of the different modes. 
   - Having fields that are only visible in one mode was confusing.";Medium: Search for decisions as well as within decisions;Positive: User interface is easy to understand;Positive: If you know the workflow, the interface is good to use.;Professional mode;Currently, participant would use basic mode for quick drafts, because the options expand automatically in advanced and professional mode.;4;4;3;Strongly depends on client. As consultant, the participant may propose the tool to the client.
;Support for Copy-Paste in Lists.;"Hard: Linking decisions to other decisions
   - e.g. one decision often dependends on others or is followed up by others";Negative: Having the Commit and Push button directly next to the Remove repository button may be dangerous.;;;"However, with a few changes, the participant would only use the professional mode:
   - Default expansion of new option items slows down writing progress. If the considered options did not expand automatically in professional mode (description and pros and cons), there would be no need for basic mode.
   - The advanced mode would not be needed, since the links and the decision drivers do not take up so much space.";;;;
;As a professional tool, it would need auto completion for decision makers.;"Hard: Including graphics
   - Either by pushing image file to GitHub and linking it in Markdown or using rich text to ""write"" graphics.";Negative: Modes were confusing at first, but once you know the differences they are understandable.;;;;;;;
;;;Negative: The Title field was confusing at first. It should have a label like the other fields.;;;;;;;
;;;;;;;;;;
5;They liked that the interface was very simple and did not have too many functions.;Completeness: Support for referencing an ADR in a commit and showing the related commits when displaying the ADR.;Negative:  When there appears a new text field for lists, then it should do so for Deciders too.;Positive: Very well;Basic mode for quick drafting and Professional for more detailed ADRs.;Most likely yes;4;4;5;Missing deprecation of ADRs.
;;"Medium: Support for superseding/ deprecation of ADRs and navigating from one ADR to another.
   - partially satisfied by Status field, but misses possibility to reference other ADRs.";Positive: The modes are nice, because they allow to start with quickly sketching an ADR and then writing more details. However, they miss the workflow to use them naturally.;Positive: It's nice that the user does not have to take care of the Markdown.;They most likely would not need Advanced mode.;;;;;Tab key for navigating between text fields would be nice.
;;;Negative: Mini-HowTo for modes would help.;;;;;;;Only if the tool supports GitLab.
;;;;;;;;;;
6;It was not intuitive that you don't have to write Markdown in basic mode.;Hard: Graphics for architecture diagrams, e.g., pictures in the repository.;Negative: Basic and advanced mode were confusing at the start.;Positive: Efficient to use. The drag and drop in the considered options supports this.;The participant would directly take the mode that can do the most, since a meeting usually contains all the information that is being requested there.;No.;5;4;3;Missing graphics for completeness
;;"Easy: Status tracking
   - Who made the first proposal?
   - What changes were made, when was the individual status changed?
   - Who accepted it?";Negative: Considered option fields were confusing.;It was intuitively usable.;;;;;;If it was integrated in Azure DevOps, then yes, else no.
;;;Negative: Differences between advanced and professional were not clear. Professional would be enough.;;;;;;;
;;;Negative: Deciders were not directly clear what was meant by this.;;;;;;;
;;;;;;;;;;
7;All functions worked well and do not need to be improved. Only UI points and additional functionalities were mentioned.;Easy: Field for vote.;"Negative: Did not see modes at all in the beginning.
   - Possible solution: Wizard for selecting a mode, when opening the tool and creating the ADR.";Neutral: Good except for a few small starting problems that were clear after the first use (modes, expandable options, push button). Efficiency is okay.;"Basic mode to record the info shortly after the meeting. Professional to elaborate everything.
Would you switch between modes?";Yes.;3;3;4;If it supports BitBucket.
;;Hard: Including graphics or a picture of a whiteboard.;Negative: Save button should be bottom right or green and bigger.;;;;;;;
;;Easy: Resubmission date.;Positive:  Workflow was intuitive. ;;;;;;;
;;Easy: Include opinions of deciders and who was responsible.;;;;;;;;
;;;;;;;;;;
8;Needed functionality is there.;Hard: Include or link graphics in Markdown.;Positive: Sufficiently well;Negative: Not really efficient, the participant will prefer to write pure Markdown with Emacs.;Professional mode, because it is simple enough.;No, the Professional mode is enough.;4;4;1;Functional Completeness (4), Functional Correctness (4), Functional Appropriateness (4)
;Additional free text field (if it doesn't break concept of ADRs).;Easy: Reset content of a single file and repository.;Negative: For new users, more explanations in the UI would be helpful, e.g., through explanations on hover, and modes should be explained.;;;;;;;Learnability (4), Operability (4), Aesthetics (3)
;"Convert should give clearer information that content is lost.
   - Raw Markdown mode seems like you can write whatever you want but it is lost when switching to Editor. -> very frustrating";Easy: Option to determine who edited the ADR and when. List of people who have said what.;Negative: Deletion of options should give a warning.;;;;;;;Templates are dynamic and the used tools depend on the team but, in general, the tool could be used in this field.
;;Medium: Undo function;;;;;;;;
;;Hard: Function to see what has been changed and the changes between different versions. Show Git History of the ADRs.;;;;;;;;
;;;;;;;;;;
9;Needed functionality is there.;Easy: Voting Tool: In practice, the participant's team often votes on which option is chosen. Thus, the participant suggests to add a link to an online voting tool or integrate one.;Positive: Understandable, because participant knew the template. Otherwise, they may have needed more explanations of text fields.;Positive: The tool is pretty efficiently usable.;Professional mode.;No.;5;3;3;Difference between Advancedand Professional mode was not clear.
;;;Negative: Commit and Push button was hard to find.;Negative: Raw markdown may be easier.;;;;;;In practice, the participant can't use the tool because they use Confluence. If they used GitHub and MADR, they would use the tool.
;;;Negative: It was not clear that, when pressing the Accept button in the Convert tab, information (that does not respect the format of MADR) is deleted.;Positive: Having a structure is nice.;;;;;;
